mesh,add_N,sub,metal,E_ads_H
42,1N,DV_1N,Ru,-0.76033000000001
42,1N,DV_1N,Rh,0.199450000000013
42,1N,DV_1N,Pd,1.57913000000002
42,1N,DV_1N,Ag,1.69864999999999
42,1N,DV_1N,Hf,-2.30477999999999
42,1N,DV_1N,Ta,-2.47757000000001
42,1N,DV_1N,W,-2.31916000000001
42,1N,DV_1N,Re,-1.94447000000002
42,1N,DV_1N,Os,-1.12906000000004
42,1N,DV_1N,Ir,-0.0380800000000363
42,1N,DV_1N,Pt,1.54813000000001
42,1N,DV_1N,Au,1.86116999999996
42,1N,DV_2N_1,Sc,-1.10648000000009
42,1N,DV_2N_1,Ti,-1.99318000000005
42,1N,DV_2N_1,V,-1.82441
42,1N,DV_2N_1,Cr,-0.808110000000056
42,1N,DV_2N_1,Mn,-0.0566900000000032
42,1N,DV_2N_1,Fe,0.164480000000026
42,1N,DV_2N_1,Co,0.502629999999954
42,1N,DV_2N_1,Ni,1.37374
42,1N,DV_2N_1,Cu,1.76285999999993
42,1N,DV_2N_1,Zn,0.559200000000033
42,1N,DV_2N_1,Y,-1.04924
42,1N,DV_2N_1,Zr,-2.16075000000001
42,1N,DV_2N_1,Nb,-2.32106000000005
42,1N,DV_2N_1,Mo,-1.89076
42,1N,DV_2N_1,Tc,-1.52786000000003
